"","Wine.Color","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","Class"
"1374","W",7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,"Bad"
"1375","W",5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,"Good"
"1376","W",8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,"Bad"
"1377","W",6.9,0.4,0.42,6.2,0.066,41,176,0.99552,3.12,0.54,9.4,"Bad"
"1378","W",7,0.24,0.24,1.8,0.047,29,91,0.99251,3.3,0.43,9.9,"Bad"
"1379","R",8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,"Good"
"1380","R",6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4,"Bad"
"1381","W",7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,"Good"
"1382","W",6.2,0.34,0.25,12.1,0.059,33,171,0.99769,3.14,0.56,8.7,"Bad"
"1383","W",5.9,0.32,0.39,3.3,0.114,24,140,0.9934,3.09,0.45,9.2,"Bad"
"1384","W",7,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,"Good"
"1385","R",8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,"Bad"
"1386","W",7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,"Good"
"1387","R",7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,"Good"
"1388","W",5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,"Bad"
"1389","W",7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,"Bad"
"1390","W",5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,"Good"
"1391","R",7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,"Bad"
"1392","R",6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,"Good"
"1393","W",8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,"Good"
"1394","W",7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,"Bad"
"1395","W",6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,"Good"
"1396","W",5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,"Good"
"1397","R",7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,"Bad"
"1398","W",6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,"Bad"
"1399","W",6,0.33,0.38,9.7,0.04,29,124,0.9954,3.47,0.48,11,"Good"
"1400","W",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,"Good"
"1401","R",6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,"Good"
"1402","W",6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,"Good"
"1403","R",7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,"Good"
"1404","W",5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,"Bad"
"1405","W",5.9,0.17,0.28,0.7,0.027,5,28,0.98985,3.13,0.32,10.6,"Bad"
"1406","W",7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,"Bad"
"1407","W",6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,"Bad"
"1408","W",7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,"Good"
"1409","W",6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,"Bad"
"1410","W",6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,"Bad"
"1411","W",6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,"Good"
"1412","W",6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,"Good"
"1413","W",6.6,0.325,0.49,7.7,0.049,53,217,0.996,3.16,0.4,9.3,"Good"
"1414","W",8.4,0.2,0.27,6.3,0.048,30,143,0.9966,3.25,0.5,9.1,"Bad"
"1415","R",6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,"Bad"
"1416","R",11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,"Good"
"1417","W",6.6,0.25,0.42,11.3,0.049,77,231,0.9966,3.24,0.52,9.5,"Good"
"1418","W",6.4,0.25,0.37,4.5,0.039,41,147,0.9921,3.18,0.4,11.1,"Good"
"1419","W",6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,"Good"
"1420","W",6.4,0.29,0.24,3.2,0.037,31,95,0.98942,2.9,0.66,12.6,"Bad"
"1421","W",7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,"Bad"
"1422","W",6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,"Good"
"1423","W",6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,"Bad"
"1424","W",6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,"Good"
"1425","W",7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9,"Bad"
"1426","R",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,"Bad"
"1427","W",5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,"Good"
"1428","W",6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,"Bad"
"1429","W",8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,"Bad"
"1430","W",6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,"Good"
"1431","R",9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,"Bad"
"1432","W",7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,"Bad"
"1433","W",7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,"Good"
"1434","W",9.5,0.21,0.47,1.3,0.039,21,123,0.9959,2.9,0.64,9.5,"Bad"
"1435","W",7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,"Bad"
"1436","W",5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,"Bad"
"1437","W",6.2,0.25,0.48,10,0.044,78,240,0.99655,3.25,0.47,9.5,"Bad"
"1438","W",6.5,0.32,0.23,1.2,0.054,39,208,0.99272,3.18,0.46,9.9,"Bad"
"1439","R",10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,"Bad"
"1440","R",7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,"Bad"
"1441","W",7.8,0.2,0.28,10.2,0.054,78,186,0.997,3.14,0.46,10,"Bad"
"1442","R",7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,"Good"
"1443","W",7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,"Bad"
"1444","W",6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,"Good"
"1445","W",6.9,0.31,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1,"Good"
"1446","W",7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,"Good"
"1447","W",7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,"Good"
"1448","W",7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,"Bad"
"1449","R",8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,"Good"
"1450","W",7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,"Bad"
"1451","W",6.9,0.58,0.58,8.2,0.032,29,169,0.99275,3.28,0.44,12.2,"Bad"
"1452","W",6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,"Bad"
"1453","W",7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,"Good"
"1454","W",6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,"Good"
"1455","W",7.5,0.18,0.37,6.2,0.05,21,138,0.99546,3.2,0.55,10.5,"Bad"
"1456","W",6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,"Good"
"1457","W",6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,"Good"
"1458","W",7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,"Bad"
"1459","W",6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,"Bad"
"1460","W",6.5,0.41,0.64,11.8,0.065,65,225,0.9978,3.12,0.51,8.9,"Bad"
"1461","W",6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,"Good"
"1462","W",7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,"Good"
"1463","W",5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7,"Bad"
"1464","W",7.2,0.25,0.32,1.5,0.054,24,105,0.99154,3.17,0.48,11.1,"Good"
"1465","W",8.9,0.27,0.34,10.7,0.029,19.5,166,0.99669,3.13,0.48,10.6,"Bad"
"1466","W",5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,"Good"
"1467","W",7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2,"Good"
"1468","R",7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,"Bad"
"1469","W",7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,"Bad"
"1470","R",6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,"Good"
"1471","W",7.3,0.25,0.27,3.8,0.047,16,79,0.99173,3.07,0.46,11.3,"Bad"
"1472","R",6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,"Good"
"1473","W",7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,"Bad"
"1474","R",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,"Bad"
"1475","W",6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,"Bad"
"1476","W",6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,"Bad"
"1477","R",9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,"Good"
"1478","W",7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,"Bad"
"1479","W",7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,"Good"
"1480","R",10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,"Bad"
"1481","W",7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,"Good"
"1482","W",6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,"Bad"
"1483","R",12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,"Bad"
"1484","W",6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,"Good"
"1485","W",6,0.21,0.38,0.8,0.02,22,98,0.98941,3.26,0.32,11.8,"Good"
"1486","W",6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,"Bad"
"1487","W",8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,"Bad"
"1488","W",6.9,0.31,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1,"Good"
"1489","R",6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,"Bad"
"1490","W",7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,"Good"
"1491","W",9.2,0.27,0.34,10.5,0.043,49,228,0.9974,3.04,0.41,10.4,"Bad"
"1492","W",6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,"Good"
"1493","W",6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,"Good"
"1494","W",6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,"Bad"
"1495","W",4.4,0.32,0.39,4.3,0.03,31,127,0.98904,3.46,0.36,12.8,"Good"
"1496","W",9,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2,"Good"
"1497","W",7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,"Bad"
"1498","W",7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,"Good"
"1499","R",6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,"Bad"
"1500","W",5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9,"Good"
"1501","W",6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,"Good"
"1502","W",6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.13333333,"Good"
"1503","R",6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,"Bad"
"1504","W",7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,"Good"
"1505","W",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,"Good"
"1506","W",7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,"Bad"
"1507","W",7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,"Bad"
"1508","W",7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,"Bad"
"1509","W",7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,"Good"
"1510","W",5.8,0.22,0.25,1.5,0.024,21,109,0.99234,3.37,0.58,10.4,"Good"
"1511","W",6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,"Bad"
"1512","W",6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,"Good"
"1513","W",7.2,0.34,0.2,5.8,0.062,52,203,0.99461,3.17,0.44,9.8,"Good"
"1514","R",6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,"Bad"
"1515","W",6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,"Good"
"1516","W",7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,"Bad"
"1517","W",6.3,0.17,0.32,1,0.04,39,118,0.98886,3.31,0.4,13.1,"Good"
"1518","W",6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,"Bad"
"1519","W",6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,"Good"
"1520","W",6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,"Good"
"1521","W",6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,"Good"
"1522","W",7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4,"Bad"
"1523","W",6.6,0.23,0.32,1.5,0.041,8,72,0.98949,3.22,0.39,12.7,"Good"
"1524","W",7.3,0.36,0.34,14.8,0.057,46,173,0.99751,3.14,0.57,10.2,"Bad"
"1525","W",6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,"Good"
"1526","W",6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,"Good"
"1527","W",6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,"Bad"
"1528","W",5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,"Good"
"1529","W",6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,"Bad"
"1530","W",7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,"Good"
"1531","W",6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,"Bad"
"1532","W",7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,"Good"
"1533","W",7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,"Good"
"1534","W",6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,"Bad"
"1535","W",6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,"Good"
"1536","W",6.4,0.33,0.28,1.1,0.038,30,110,0.9917,3.12,0.42,10.5,"Good"
"1537","W",6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,"Bad"
"1538","W",6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3,"Good"
"1539","W",6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,"Bad"
"1540","W",6.6,0.34,0.25,4.8,0.038,16,121,0.99198,3.36,0.71,12.6,"Bad"
"1541","W",7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,"Bad"
"1542","R",7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,"Good"
"1543","W",7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,"Good"
"1544","W",6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,"Good"
"1545","W",6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,"Good"
"1546","W",6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,"Good"
"1547","W",7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9,"Bad"
"1548","W",7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,"Bad"
"1549","W",6.8,0.22,0.37,15.2,0.051,68,178,0.99935,3.4,0.85,9.3,"Good"
"1550","W",6.2,0.3,0.28,1.6,0.036,28,106,0.988245,3.14,0.41,13.3,"Bad"
"1551","W",6.9,0.33,0.62,7.5,0.038,46,132,0.99143,3.23,0.43,13.4,"Good"
"1552","W",7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,"Bad"
"1553","W",7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,"Good"
"1554","W",7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,"Good"
"1555","W",6.1,0.25,0.28,10,0.055,56,131,0.994,3.22,0.35,10.9,"Good"
"1556","R",10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,"Bad"
"1557","R",7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,"Bad"
"1558","W",5.7,0.385,0.04,12.6,0.034,22,115,0.9964,3.28,0.63,9.9,"Bad"
"1559","W",6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,"Good"
"1560","W",7.3,0.21,0.3,10.9,0.037,18,112,0.997,3.4,0.5,9.6,"Bad"
"1561","W",8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,"Good"
"1562","W",6.1,0.17,0.27,1.5,0.056,45,135,0.9924,3.2,0.43,10.2,"Bad"
"1563","W",7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,"Good"
"1564","W",5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,"Bad"
"1565","W",6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,"Bad"
"1566","W",5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,"Bad"
"1567","W",7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,"Good"
"1568","W",7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,"Good"
"1569","W",6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,"Bad"
"1570","R",9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,"Bad"
"1571","R",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,"Bad"
"1572","R",7,0.59,0,1.7,0.052,3,8,0.996,3.41,0.47,10.3,"Bad"
"1573","R",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,"Bad"
"1574","W",6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,"Bad"
"1575","R",6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,"Bad"
"1576","W",6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,"Good"
"1577","W",6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,"Bad"
"1578","W",6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,"Good"
"1579","W",6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,"Bad"
"1580","W",6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,"Bad"
"1581","W",7.6,0.21,0.49,2.5,0.047,20,130,0.99178,3.15,0.48,11.1,"Bad"
"1582","W",7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,"Good"
"1583","R",9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,"Good"
"1584","W",6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,"Good"
"1585","W",8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,"Bad"
"1586","W",8.1,0.28,0.49,1,0.04,32,148,0.9936,3.13,0.41,10,"Good"
"1587","W",9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,"Bad"
"1588","W",7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,"Bad"
"1589","W",7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,"Good"
"1590","W",7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,"Good"
"1591","W",7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,"Good"
"1592","W",6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,"Bad"
"1593","W",7.3,0.22,0.37,15.5,0.048,70,203,0.99899,3.25,0.77,9.4,"Bad"
"1594","W",5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,"Bad"
"1595","W",8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,"Bad"
"1596","R",10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,"Bad"
"1597","R",5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,"Good"
"1598","W",6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,"Good"
"1599","W",6.9,0.3,0.3,10.55,0.037,4,28,0.99184,3.07,0.32,12.7,"Good"
"1600","W",5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,"Bad"
"1601","W",9.8,0.44,0.4,2.8,0.036,35,167,0.9956,2.97,0.39,9.2,"Bad"
"1602","W",5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,"Bad"
"1603","W",8.1,0.28,0.49,1,0.04,32,148,0.9936,3.13,0.41,10,"Good"
"1604","W",8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,"Bad"
"1605","R",12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,"Bad"
"1606","W",5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,"Bad"
"1607","W",7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,"Good"
"1608","W",7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,"Bad"
"1609","W",6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,"Bad"
"1610","W",7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3,"Good"
"1611","R",5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,"Bad"
"1612","W",7.4,0.26,0.3,7.9,0.049,38,157,0.9963,3.13,0.48,8.9,"Good"
"1613","W",5.6,0.42,0.34,2.4,0.022,34,97,0.98915,3.22,0.38,12.8,"Good"
"1614","W",6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,"Bad"
"1615","R",9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,"Good"
"1616","W",7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,"Bad"
"1617","W",7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,"Good"
"1618","W",6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,"Good"
"1619","R",8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,"Good"
"1620","W",6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,"Bad"
"1621","W",7.1,0.42,0.2,2.8,0.038,28,109,0.98968,3.23,0.47,13.4,"Bad"
"1622","W",7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,"Good"
"1623","W",6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,"Good"
"1624","R",7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,"Bad"
"1625","W",5.4,0.5,0.13,5,0.028,12,107,0.99079,3.48,0.88,13.5,"Good"
"1626","W",6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,"Good"
"1627","W",7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,"Bad"
"1628","R",8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,"Bad"
"1629","R",8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,"Bad"
"1630","W",6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,"Good"
"1631","R",9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,"Bad"
"1632","W",8,0.32,0.36,4.6,0.042,56,178,0.9928,3.29,0.47,12,"Bad"
"1633","R",7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,"Good"
"1634","W",6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,"Good"
"1635","W",6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,"Bad"
"1636","W",7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,"Good"
"1637","W",6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,"Good"
"1638","R",9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,"Bad"
"1639","W",6,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3,"Good"
"1640","W",8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4,"Good"
"1641","R",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,"Good"
